Timestamp;CO2 ppm
2023-06-22 17:01:04.806452;493
2023-06-22 17:01:05.305973;493
2023-06-22 17:01:05.800791;494
2023-06-22 17:01:06.293536;494
2023-06-22 17:01:06.802228;494
2023-06-22 17:01:07.301271;494
2023-06-22 17:01:07.805547;494
2023-06-22 17:01:08.304199;494
2023-06-22 17:01:08.799051;494
2023-06-22 17:01:09.300724;494
2023-06-22 17:01:09.801218;494
2023-06-22 17:01:10.303572;494
2023-06-22 17:01:10.805841;494
2023-06-22 17:01:11.307717;494
2023-06-22 17:01:11.799629;494
2023-06-22 17:01:12.303514;494
2023-06-22 17:01:12.796206;495
2023-06-22 17:01:13.296204;495
2023-06-22 17:01:13.797695;495
2023-06-22 17:01:14.300520;495
2023-06-22 17:01:14.798250;495
2023-06-22 17:01:15.301599;495
2023-06-22 17:01:15.802334;495
2023-06-22 17:01:16.307874;495
2023-06-22 17:01:16.808445;495
2023-06-22 17:01:17.306398;495
2023-06-22 17:01:17.807902;496
2023-06-22 17:01:18.308359;496
2023-06-22 17:01:18.793688;496
2023-06-22 17:01:19.296116;496
2023-06-22 17:01:19.805096;496
2023-06-22 17:01:20.300599;496
2023-06-22 17:01:20.802585;496
2023-06-22 17:01:21.306150;496
2023-06-22 17:01:21.797539;497
2023-06-22 17:01:22.291701;497
2023-06-22 17:01:22.798549;498
2023-06-22 17:01:23.298631;498
2023-06-22 17:01:23.798146;498
2023-06-22 17:01:24.308823;498
2023-06-22 17:01:24.808871;498
2023-06-22 17:01:25.301120;498
2023-06-22 17:01:25.805354;499
2023-06-22 17:01:26.307137;499
2023-06-22 17:01:26.807390;499
2023-06-22 17:01:27.306338;499
2023-06-22 17:01:27.794687;500
2023-06-22 17:01:28.304184;500
2023-06-22 17:01:28.800469;501
2023-06-22 17:01:29.305611;501
2023-06-22 17:01:29.805067;502
2023-06-22 17:01:30.309228;502
2023-06-22 17:01:30.804269;503
2023-06-22 17:01:31.296945;503
2023-06-22 17:01:31.803175;504
2023-06-22 17:01:32.302779;504
2023-06-22 17:01:32.807670;506
2023-06-22 17:01:33.307363;506
2023-06-22 17:01:33.807832;507
2023-06-22 17:01:34.295651;507
2023-06-22 17:01:34.804966;509
2023-06-22 17:01:35.307074;509
2023-06-22 17:01:35.792525;510
2023-06-22 17:01:36.298577;510
2023-06-22 17:01:36.796322;511
2023-06-22 17:01:37.304203;511
2023-06-22 17:01:37.798694;517
2023-06-22 17:01:38.302546;517
2023-06-22 17:01:38.808242;527
2023-06-22 17:01:39.299213;527
2023-06-22 17:01:39.795291;1507
2023-06-22 17:01:40.304810;1507
2023-06-22 17:01:40.795668;2624
2023-06-22 17:01:41.307717;2624
2023-06-22 17:01:41.807465;2625
2023-06-22 17:01:42.301867;2625
2023-06-22 17:01:42.801800;2627
2023-06-22 17:01:43.302613;2627
2023-06-22 17:01:43.805623;2626
2023-06-22 17:01:44.309436;2626
2023-06-22 17:01:44.810083;2626
2023-06-22 17:01:45.294717;2626
2023-06-22 17:01:45.797531;2626
2023-06-22 17:01:46.298928;2626
2023-06-22 17:01:46.801131;2625
2023-06-22 17:01:47.302478;2625
2023-06-22 17:01:47.808393;2586
2023-06-22 17:01:48.308043;2586
2023-06-22 17:01:48.807577;2376
2023-06-22 17:01:49.302031;2376
2023-06-22 17:01:49.810973;2103
2023-06-22 17:01:50.309594;2103
2023-06-22 17:01:50.803148;1962
2023-06-22 17:01:51.310576;1962
2023-06-22 17:01:51.804511;1883
2023-06-22 17:01:52.304747;1883
2023-06-22 17:01:52.806997;1805
2023-06-22 17:01:53.306533;1805
2023-06-22 17:01:53.807888;1730
2023-06-22 17:01:54.309119;1730
2023-06-22 17:01:54.808409;1659
2023-06-22 17:01:55.308381;1659
2023-06-22 17:01:55.808278;1583
2023-06-22 17:01:56.311750;1583
2023-06-22 17:01:56.805967;1513
2023-06-22 17:01:57.302690;1513
2023-06-22 17:01:57.799772;1513
2023-06-22 17:01:58.296684;1450
2023-06-22 17:01:58.803761;1450
2023-06-22 17:01:59.297480;1394
2023-06-22 17:01:59.796101;1394
2023-06-22 17:02:00.297755;1342
2023-06-22 17:02:00.802667;1342
2023-06-22 17:02:01.300067;1285
2023-06-22 17:02:01.799754;1285
2023-06-22 17:02:02.302131;1235
2023-06-22 17:02:02.802841;1235
2023-06-22 17:02:03.312530;1193
2023-06-22 17:02:03.803981;1193
2023-06-22 17:02:04.300523;1158
2023-06-22 17:02:04.804155;1158
2023-06-22 17:02:05.305165;1120
2023-06-22 17:02:05.801190;1120
2023-06-22 17:02:06.301635;1084
2023-06-22 17:02:06.799001;1084
2023-06-22 17:02:07.302994;1051
2023-06-22 17:02:07.802886;1051
2023-06-22 17:02:08.302954;1015
2023-06-22 17:02:08.803019;1015
2023-06-22 17:02:09.303915;991
2023-06-22 17:02:09.802593;991
2023-06-22 17:02:10.305736;970
2023-06-22 17:02:10.802708;970
2023-06-22 17:02:11.299962;949
2023-06-22 17:02:11.804106;949
2023-06-22 17:02:12.305507;927
2023-06-22 17:02:12.809881;927
2023-06-22 17:02:13.302930;906
2023-06-22 17:02:13.798542;906
2023-06-22 17:02:14.306807;890
2023-06-22 17:02:14.804444;890
2023-06-22 17:02:15.303709;873
2023-06-22 17:02:15.805106;873
2023-06-22 17:02:16.301881;856
2023-06-22 17:02:16.798090;856
2023-06-22 17:02:17.307337;839
2023-06-22 17:02:17.803345;839
2023-06-22 17:02:18.303423;824
2023-06-22 17:02:18.812616;824
2023-06-22 17:02:19.301138;811
2023-06-22 17:02:19.798959;811
2023-06-22 17:02:20.303218;798
2023-06-22 17:02:20.803919;798
2023-06-22 17:02:21.304109;787
2023-06-22 17:02:21.801296;787
2023-06-22 17:02:22.300886;775
2023-06-22 17:02:22.803646;775
2023-06-22 17:02:23.298709;764
2023-06-22 17:02:23.802883;764
2023-06-22 17:02:24.303349;754
2023-06-22 17:02:24.802104;754
2023-06-22 17:02:25.312443;746
2023-06-22 17:02:25.803115;746
2023-06-22 17:02:26.312715;738
2023-06-22 17:02:26.797036;738
2023-06-22 17:02:27.298559;731
2023-06-22 17:02:27.801581;731
2023-06-22 17:02:28.298662;722
2023-06-22 17:02:28.804290;722
2023-06-22 17:02:29.303107;714
2023-06-22 17:02:29.810408;714
2023-06-22 17:02:30.309415;706
2023-06-22 17:02:30.810071;706
2023-06-22 17:02:31.298830;700
2023-06-22 17:02:31.803130;700
2023-06-22 17:02:32.312825;692
2023-06-22 17:02:32.812508;692
2023-06-22 17:02:33.312563;685
2023-06-22 17:02:33.812681;685
2023-06-22 17:02:34.312523;679
2023-06-22 17:02:34.806957;679
2023-06-22 17:02:35.307636;674
